experiment,round,client_id,loss,lambda
confidence_kl,1,1,0.4547512947041311,0.5988916077731569
confidence_kl,1,2,0.4208287989551371,0.5991304565559734
confidence_kl,1,3,0.417291014844721,0.5982140042565086
confidence_kl,1,4,0.4269283384084701,0.5986492210143322
confidence_kl,2,1,0.4395323292708691,0.5396043996752045
confidence_kl,2,2,0.3607727297327735,0.5396038759838451
confidence_kl,2,3,0.3743201751600612,0.5396039079536091
confidence_kl,2,4,0.4022839828922941,0.5396042646588506
confidence_kl,3,1,0.4078837548509056,0.4850217501322428
confidence_kl,3,2,0.3525766578587618,0.4850137726827101
confidence_kl,3,3,0.3377561582760377,0.4850172121416439
confidence_kl,3,4,0.3920094348288871,0.4850227794131717
confidence_kl,4,1,0.3981339434782664,0.5804251564873589
confidence_kl,4,2,0.3316211012276736,0.5804294261065397
confidence_kl,4,3,0.3266082511706786,0.5804255604743958
confidence_kl,4,4,0.3878501898533589,0.5804234158348393
confidence_kl,5,1,0.3971799589969493,0.5429033247041114
confidence_kl,5,2,0.3207105820829218,0.5429034644907171
confidence_kl,5,3,0.3274892135099931,0.5429032455791126
confidence_kl,5,4,0.3823522400211643,0.5429032899237968
confidence_kl,6,1,0.3873939194061138,0.5490359590377336
confidence_kl,6,2,0.3057056364688006,0.5490361452102661
confidence_kl,6,3,0.3182533506642688,0.5490361446684057
confidence_kl,6,4,0.3749285198546744,0.5490360227791039
confidence_kl,7,1,0.3873036617850079,0.547407865524292
confidence_kl,7,2,0.3063741366971623,0.547407865524292
confidence_kl,7,3,0.3207273924892599,0.547407865524292
confidence_kl,7,4,0.3763959957941158,0.547407865524292
confidence_kl,8,1,0.3817136552598741,0.5166512551131072
confidence_kl,8,2,0.3056388437747955,0.5166657724163749
confidence_kl,8,3,0.3173629565672441,0.5166777751662515
confidence_kl,8,4,0.3712881503072945,0.5166361948928317
confidence_kl,9,1,0.3835571319968612,0.6081323182141339
confidence_kl,9,2,0.3068798341534354,0.6081323482773521
confidence_kl,9,3,0.3146027917211706,0.6081323390657252
confidence_kl,9,4,0.3718371788392196,0.6081323327244939
confidence_kl,10,1,0.3795743779635723,0.5149005651473999
confidence_kl,10,2,0.3050468125126578,0.5149005651473999
confidence_kl,10,3,0.3160631861199032,0.5149005651473999
confidence_kl,10,4,0.3704174944677868,0.5149005653084935
confidence_kl,11,1,0.3791765894418881,0.6018389176439356
confidence_kl,11,2,0.3162986126813021,0.6018389225006103
confidence_kl,11,3,0.3079425203529271,0.601838930086656
confidence_kl,11,4,0.3648527788149344,0.601838916056865
confidence_kl,12,1,0.3795149234341986,0.5859003096450994
confidence_kl,12,2,0.3168190916830843,0.5859003110365434
confidence_kl,12,3,0.3036310204050758,0.5859003094109622
confidence_kl,12,4,0.3718591743224376,0.5859003115344692
confidence_kl,13,1,0.3800078277234678,0.6291603600537335
confidence_kl,13,2,0.3043469255620783,0.629160769961097
confidence_kl,13,3,0.3146993775259364,0.6291604188355533
confidence_kl,13,4,0.3633327529237077,0.6291597301895554
confidence_kl,14,1,0.3778647861362975,0.5673120816548666
confidence_kl,14,2,0.3046802866187962,0.5673120439052581
confidence_kl,14,3,0.3197104421528903,0.5673120086843317
confidence_kl,14,4,0.3625346967497387,0.5673120654918052
confidence_kl,15,1,0.3779931708618446,0.5631229001798748
confidence_kl,15,2,0.3001685227860104,0.5631228782913902
confidence_kl,15,3,0.3168682778423483,0.5631228744983673
confidence_kl,15,4,0.363643065014401,0.5631228985013188
confidence_kl,16,1,0.3801775795442086,0.56872507672251
confidence_kl,16,2,0.3045532924207774,0.568725110725923
confidence_kl,16,3,0.3160960691896352,0.5687250912189483
confidence_kl,16,4,0.3601896064506995,0.568725078170364
confidence_kl,17,1,0.382141606675254,0.5973635992886107
confidence_kl,17,2,0.3016964061693711,0.5973636177453128
confidence_kl,17,3,0.318615811792287,0.5973636079918254
confidence_kl,17,4,0.3623326098596727,0.5973636205131944
confidence_kl,18,1,0.3795429357775935,0.6112860205732746
confidence_kl,18,2,0.3023689780722965,0.6112860143184662
confidence_kl,18,3,0.3177652825008739,0.6112860175696286
confidence_kl,18,4,0.3594191651892017,0.6112860189901815
confidence_kl,19,1,0.3785818182391884,0.6237613867830347
confidence_kl,19,2,0.3002259564670649,0.6237613780931993
confidence_kl,19,3,0.315655906362967,0.6237613780931993
confidence_kl,19,4,0.3595101875227851,0.623761377302376
confidence_kl,20,1,0.3765107842139256,0.5820341426649212
confidence_kl,20,2,0.301282611624761,0.5819286281412298
confidence_kl,20,3,0.3139207394285636,0.5818633713505484
confidence_kl,20,4,0.3605199027705837,0.58214510856448
