experiment,round,client_id,loss,lambda
hybrid,1,1,0.6239157016160058,0.3239196199862683
hybrid,1,2,0.461996762972811,0.2141614712531799
hybrid,1,3,0.4570755115543228,0.2092218408071663
hybrid,2,1,0.2430789014271327,0.2229402068257332
hybrid,2,2,0.2184491914737483,0.2105313465728061
hybrid,2,3,0.2417929697321705,0.2197140582588565
hybrid,3,1,0.148177936428883,0.3008145067046902
hybrid,3,2,0.1352451998011573,0.2824388645994274
hybrid,3,3,0.1459888709612576,0.3003882820743964
hybrid,4,1,0.1090622698185873,0.3441250640837872
hybrid,4,2,0.0994849414362207,0.3280298590174189
hybrid,4,3,0.1090456233378425,0.3644401830149835
hybrid,5,1,0.0909491459854313,0.3732040731633295
hybrid,5,2,0.0838861017204497,0.3566470800858475
hybrid,5,3,0.092045930767083,0.3946551641857478
hybrid,6,1,0.0769001382906905,0.394332069305123
hybrid,6,2,0.0859890578474317,0.4165436888933173
hybrid,6,3,0.0808978522144465,0.4160783015399328
hybrid,7,1,0.0707353898247734,0.3980544201174724
hybrid,7,2,0.0706772129253848,0.3908075617383352
hybrid,7,3,0.0739586211711287,0.4232850283384306
hybrid,8,1,0.0673343460457246,0.4111269560016572
hybrid,8,2,0.0753209009127957,0.4214519295692433
hybrid,8,3,0.0729278556601815,0.4233419361936128
hybrid,9,1,0.0659352670438954,0.4118496509360488
hybrid,9,2,0.068633218301194,0.4220376979112612
hybrid,9,3,0.0691312505785687,0.4242963888136972
hybrid,10,1,0.0690088662334152,0.4062190000151026
hybrid,10,2,0.0664055401512554,0.4227926070690142
hybrid,10,3,0.0678555941128212,0.3938175934164418
hybrid,11,1,0.0660588755671467,0.4230990229845034
hybrid,11,2,0.0590164903146417,0.4152817953539922
hybrid,11,3,0.0703398011609971,0.4231845507702487
hybrid,12,1,0.0593929635818864,0.4164809373069986
hybrid,12,2,0.0641280685152326,0.4238945283889757
hybrid,12,3,0.057162385686989,0.4162143726063802
hybrid,13,1,0.0580521629604159,0.4183431787080456
hybrid,13,2,0.0644437756921563,0.4236837328672397
hybrid,13,3,0.0692078469996433,0.4222067649620922
hybrid,14,1,0.0574107377744111,0.4173278543304227
hybrid,14,2,0.059825444647244,0.4243350801467882
hybrid,14,3,0.0647616662322525,0.4248216367575258
hybrid,15,1,0.0595807167142629,0.4249606415033327
hybrid,15,2,0.0565828296922795,0.4174632957772058
hybrid,15,3,0.0606514748957646,0.4249408104980117
hybrid,16,1,0.0596058668089764,0.4243908338546739
hybrid,16,2,0.0552222137339413,0.4208009405790451
hybrid,16,3,0.0638239932621261,0.4249316209934604
hybrid,17,1,0.0532626363402995,0.4220700469173373
hybrid,17,2,0.0569850222340651,0.4244467276334748
hybrid,17,3,0.0595100203239585,0.4246340652267278
hybrid,18,1,0.0549674653677178,0.4209396173230941
hybrid,18,2,0.0536764397933755,0.419640120928701
hybrid,18,3,0.0598068008963686,0.4249992454906841
hybrid,19,1,0.053239458591723,0.422649739169684
hybrid,19,2,0.0511088915290715,0.4230215075709235
hybrid,19,3,0.0605207222153941,0.4247537218598237
hybrid,20,1,0.0574946848196642,0.4246138257980332
hybrid,20,2,0.0491512850149656,0.4237506885081515
hybrid,20,3,0.0582032200409121,0.4247792479288987
