experiment,round,client_id,loss,lambda
kl,1,1,0.4773528159789319,0.5
kl,1,2,0.439012401777765,0.5
kl,1,3,0.4305190413463406,0.5
kl,1,4,0.4275946011361868,0.5
kl,2,1,0.4206677889046462,0.5
kl,2,2,0.4554745414347019,0.5
kl,2,3,0.4088245740750941,0.5
kl,2,4,0.4154302670579889,0.5
kl,3,1,0.3995096677023431,0.5
kl,3,2,0.4222920767541201,0.5
kl,3,3,0.3962313300225792,0.5
kl,3,4,0.3818351667698311,0.5
kl,4,1,0.3580860612185105,0.5
kl,4,2,0.3941891395820762,0.5
kl,4,3,0.374675162536342,0.5
kl,4,4,0.3778797981693693,0.5
kl,5,1,0.3512993636338607,0.5
kl,5,2,0.3881015316495355,0.5
kl,5,3,0.3785258915366196,0.5
kl,5,4,0.3907247298275647,0.5
kl,6,1,0.340765919374383,0.5
kl,6,2,0.3804139978480789,0.5
kl,6,3,0.3699335300340885,0.5
kl,6,4,0.3718164342091135,0.5
kl,7,1,0.3387899120216784,0.5
kl,7,2,0.3809564085501545,0.5
kl,7,3,0.3718155844909389,0.5
kl,7,4,0.3774050177763338,0.5
kl,8,1,0.3492173442374105,0.5
kl,8,2,0.3893189970052467,0.5
kl,8,3,0.3644720795677929,0.5
kl,8,4,0.3628069377787735,0.5
kl,9,1,0.3339406640633293,0.5
kl,9,2,0.3810499557908975,0.5
kl,9,3,0.3665288538467593,0.5
kl,9,4,0.3628551436021276,0.5
kl,10,1,0.3345104566086893,0.5
kl,10,2,0.3801168692561815,0.5
kl,10,3,0.3688688295643504,0.5
kl,10,4,0.363861356254505,0.5
kl,11,1,0.3297220578660135,0.5
kl,11,2,0.3767396762685955,0.5
kl,11,3,0.3642484763773476,0.5
kl,11,4,0.3628022814898387,0.5
kl,12,1,0.3342697102090586,0.5
kl,12,2,0.3763033511503687,0.5
kl,12,3,0.3646889052739957,0.5
kl,12,4,0.3594892256609771,0.5
kl,13,1,0.329288675085358,0.5
kl,13,2,0.3732942415858215,0.5
kl,13,3,0.3638922041509209,0.5
kl,13,4,0.3547672283552263,0.5
kl,14,1,0.3333177579485852,0.5
kl,14,2,0.3747047225259385,0.5
kl,14,3,0.3615688959272896,0.5
kl,14,4,0.3565077980899293,0.5
kl,15,1,0.3287410269612851,0.5
kl,15,2,0.3751381961804516,0.5
kl,15,3,0.3602886121447493,0.5
kl,15,4,0.3613552675460991,0.5
kl,16,1,0.3312892622273901,0.5
kl,16,2,0.3751158832379107,0.5
kl,16,3,0.3612061273760912,0.5
kl,16,4,0.3563330642393101,0.5
kl,17,1,0.3285696020592814,0.5
kl,17,2,0.3742852846406541,0.5
kl,17,3,0.3612249679681731,0.5
kl,17,4,0.3563705235719681,0.5
kl,18,1,0.3283128770797149,0.5
kl,18,2,0.3729989601756042,0.5
kl,18,3,0.3603295236099057,0.5
kl,18,4,0.3548660412754701,0.5
kl,19,1,0.3315588456133138,0.5
kl,19,2,0.3739778247644316,0.5
kl,19,3,0.3596931344125329,0.5
kl,19,4,0.3526874674565118,0.5
kl,20,1,0.3278991120017093,0.5
kl,20,2,0.3719742629887922,0.5
kl,20,3,0.3575943813091371,0.5
kl,20,4,0.3521482477207546,0.5
