experiment,round,client_id,loss,lambda
static,1,1,0.9181766281893224,0.5
static,1,2,0.9205253313227396,0.5
static,1,3,0.8608889085490529,0.5
static,1,4,0.8954103540201657,0.5
static,2,1,0.7532159943639496,0.5
static,2,2,0.7310924471878424,0.5
static,2,3,0.7665831555680531,0.5
static,2,4,0.7702361966463666,0.5
static,3,1,0.5956488600591334,0.5
static,3,2,0.6288727315855615,0.5
static,3,3,0.6521124890664729,0.5
static,3,4,0.6537783808953869,0.5
static,4,1,0.5469976240470086,0.5
static,4,2,0.5110494908763141,0.5
static,4,3,0.5774741499889188,0.5
static,4,4,0.5847740762406824,0.5
static,5,1,0.5087114013271568,0.5
static,5,2,0.4659667414862935,0.5
static,5,3,0.5323249926654304,0.5
static,5,4,0.5349539332702512,0.5
static,6,1,0.4486146100410601,0.5
static,6,2,0.483258099467666,0.5
static,6,3,0.5153147298388365,0.5
static,6,4,0.5230690476765957,0.5
static,7,1,0.4376583633626379,0.5
static,7,2,0.4740088964685982,0.5
static,7,3,0.5080718659773106,0.5
static,7,4,0.5145505430826817,0.5
static,8,1,0.4604098873167503,0.5
static,8,2,0.4948458745155805,0.5
static,8,3,0.524725203833929,0.5
static,8,4,0.5316695238723129,0.5
static,9,1,0.4646231993669417,0.5
static,9,2,0.5268356247646052,0.5
static,9,3,0.4968955424832709,0.5
static,9,4,0.5359238402904895,0.5
static,10,1,0.4710840601019743,0.5
static,10,2,0.5336222372403959,0.5
static,10,3,0.503591775894165,0.5
static,10,4,0.5432480969389931,0.5
static,11,1,0.4618195775078564,0.5
static,11,2,0.4958360338652575,0.5
static,11,3,0.5344788097753758,0.5
static,11,4,0.5402626905424533,0.5
static,12,1,0.4698140893767519,0.5
static,12,2,0.5028415458437837,0.5
static,12,3,0.5381858697751674,0.5
static,12,4,0.5460260968995597,0.5
static,13,1,0.5150194193845914,0.5
static,13,2,0.5527984979676037,0.5
static,13,3,0.4804945362777245,0.5
static,13,4,0.5609353632781768,0.5
static,14,1,0.544170746832718,0.5
static,14,2,0.5799867961464859,0.5
static,14,3,0.5134885034910063,0.5
static,14,4,0.5847105277785094,0.5
static,15,1,0.5378551740705231,0.5
static,15,2,0.5081133170098793,0.5
static,15,3,0.576669957579636,0.5
static,15,4,0.5786694616288715,0.5
static,16,1,0.5301160959549892,0.5
static,16,2,0.4988041363838242,0.5
static,16,3,0.570240335493553,0.5
static,16,4,0.5708354493773234,0.5
static,17,1,0.5253880815005597,0.5
static,17,2,0.4943886620969307,0.5
static,17,3,0.5646179921743346,0.5
static,17,4,0.5645262761612966,0.5
static,18,1,0.5072848539293549,0.5
static,18,2,0.4764629100880971,0.5
static,18,3,0.5476801911505257,0.5
static,18,4,0.5482911639247063,0.5
static,19,1,0.4872118105858932,0.5
static,19,2,0.4544786382012251,0.5
static,19,3,0.5317549669161076,0.5
static,19,4,0.5272454744340106,0.5
static,20,1,0.4991896682315402,0.5
static,20,2,0.4669241156519913,0.5
static,20,3,0.5411002541460642,0.5
static,20,4,0.536092397061109,0.5
